0.38,75.79,0,5,0.00
0.37,75.81,0,5,0.00
1.12,75.80,0,5,0.00
0.25,75.80,0,5,0.00
0.00,75.80,0,5,0.00
0.19,75.68,12,3,0.00
1.37,75.66,7,4,4.00
0.25,75.66,1,5,5.00
1.11,75.66,0,5,5.00
0.37,75.66,0,5,1.00
1.12,75.66,0,5,0.00
0.62,75.66,0,5,0.00
0.50,75.66,0,5,0.00
0.50,75.67,0,5,0.00
0.12,75.67,0,5,0.00
0.19,75.64,12,3,0.00
0.25,75.60,7,4,4.00
0.25,75.61,1,5,5.00
1.25,75.61,0,5,5.00
0.25,75.62,0,5,1.00
0.75,75.63,0,5,0.00
0.62,75.63,0,5,0.00
0.62,75.62,0,5,0.00
0.25,75.62,0,5,0.00
0.74,75.63,0,5,0.00
